"userType","gender","birthYear","state","jurisdiction","jurisdictionOthers","diocese","dioceseOthers","cradleOrConvert","cradleOrConvertOthers","clericalRank","clericalRankOthers","clericalStatus","clericalStatusOthers","parishType","parishTypeOthers","parishRole","parishRoleOthers","academicDegree","academicDegreeOthers","seminarySchool","seminarySchoolOthers","profession","Q1","Q2",,"Q3",,,,,,,,,
"Laity","Male",1988,"Illinois","Greek Orthodox Archdiocese of America",,"Greek Orthodox Archdiocese of America",,"Cradle",,,,,,,,"AoB Admin|AoB Research Team",,"Graduate Degree",,,,"Director of Operations","Sexual morality","Demographic shifts (how to balance the needs of different groups)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Clergy",,1975,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers""      ",,,,,,,,,,
"Clergy",,1980,"Illinois","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Male",1982,"Indiana","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Data Scientist","Support for clergy (to avoid burnout)","Mental health needs of parishioners","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1977,"Virginia","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Converted as an Adult",,"Priest",,,,,,,,,,"Christ The Saviour Seminary: Johnstown, Pennsylvania| St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania|An Orthodox Christian distance learning program ",,,"Financial contributions/donations/stability","Growing the parish","Influx of new inquirers        ",,,,,,,,,,
"Clergy",,1981,"Illinois","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Growing the parish","Youth Ministry (retention and return of youth & young adults)","Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,
"Clergy",,1967,"New York","Greek Orthodox Archdiocese of America",,"Greek Orthodox Archdiocese of America",,"Cradle",,"Archbishop",,,,,,,,,,"Antiochian House of Studies",,,"Growing the parish","Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1985,"Virginia","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Program Manager","Growing the parish","Sexual morality","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Female",1994,"Virginia","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of New York and Washington, D.C.",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Legal","Sexual morality","Support for clergy (to avoid burnout)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1955,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,,"as needed","Graduate Degree",,,,"real estate - hard money lender & broker","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Mental health needs of parishioners","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
